f,f,e,d,c,a,9,8
7,6,5,3,2,1,0,0
f,e,d,b,9,8,8,8
8,8,8,6,4,2,1,0
e,d,c,8,8,8,8,8
8,8,8,8,7,3,2,1
d,b,8,8,8,8,8,8
8,8,8,8,8,7,4,2
c,9,8,8,8,8,8,8
8,8,8,8,8,8,6,3
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
3,6,7,7,7,7,7,7
7,7,7,7,7,7,9,c
2,4,7,7,7,7,7,7
7,7,7,7,7,8,b,d
1,2,3,7,7,7,7,7
7,7,7,7,8,c,d,e
0,1,2,4,6,7,7,7
7,7,7,9,b,d,e,f
0,0,1,2,3,5,6,7
8,9,a,c,d,e,f,f
f,e,d,c,b,a,9,8
7,6,5,4,3,2,1,0
d,c,b,9,8,8,8,8
8,8,8,8,6,4,3,2
c,b,9,8,8,8,8,8
8,8,8,8,8,6,4,3
b,9,8,8,8,8,8,8
8,8,8,8,8,8,6,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
4,6,7,7,7,7,7,7
7,7,7,7,7,7,9,b
3,4,6,7,7,7,7,7
7,7,7,7,7,9,b,c
2,3,4,6,7,7,7,7
7,7,7,7,9,b,c,d
0,1,2,3,4,5,6,7
8,9,a,b,c,d,e,f
f,e,d,c,b,a,9,8
7,6,5,4,3,2,1,0
e,d,c,a,9,8,8,8
8,8,8,6,5,3,2,1
d,c,b,9,8,8,8,8
8,8,8,8,6,4,3,2
c,b,9,8,8,8,8,8
8,8,8,8,8,6,4,3
b,9,8,8,8,8,8,8
8,8,8,8,8,8,6,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,7,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,8,a
4,6,7,7,7,7,7,7
7,7,7,7,7,7,9,b
3,4,6,7,7,7,7,7
7,7,7,7,7,9,b,c
2,3,4,6,7,7,7,7
7,7,7,7,9,b,c,d
1,2,3,5,6,7,7,7
7,7,7,9,a,c,d,e
0,1,2,3,4,5,6,7
8,9,a,b,c,d,e,f
f,e,d,c,b,a,9,8
7,6,5,4,3,2,1,0
e,d,c,b,9,8,8,8
8,8,8,6,4,3,2,1
d,c,b,9,8,8,8,8
8,8,8,8,6,4,3,2
c,b,9,8,8,8,8,8
8,8,8,8,8,6,4,3
b,9,8,8,8,8,8,8
8,8,8,8,8,8,6,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,7,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,8,a
4,6,7,7,7,7,7,7
7,7,7,7,7,7,9,b
3,4,6,7,7,7,7,7
7,7,7,7,7,9,b,c
2,3,4,6,7,7,7,7
7,7,7,7,9,b,c,d
1,2,3,4,6,7,7,7
7,7,7,9,b,c,d,e
0,1,2,3,4,5,6,7
8,9,a,b,c,d,e,f
